Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
1,https://gitlab.com/vcoindet/projetgitit1/-/issues/1,Debug melange_carte,Open,,Vincent De Oliveira,iamvdo,"","",No,No,,2021-03-25 09:18:46,2021-03-25 09:18:46,,,,,0,0
2,https://gitlab.com/vcoindet/projetgitit1/-/issues/2,Doc melange_carte,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:20:35,2021-03-25 09:24:19,,,,,0,0
3,https://gitlab.com/vcoindet/projetgitit1/-/issues/3,Test unitaire melange_carte,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:25:57,2021-03-25 09:25:57,,,,,0,0
4,https://gitlab.com/vcoindet/projetgitit1/-/issues/4,Coder carte_cache,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:26:31,2021-03-25 09:26:31,,,,,0,0
5,https://gitlab.com/vcoindet/projetgitit1/-/issues/5,Doc carte_cache,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:26:48,2021-03-25 09:26:48,,,,,0,0
6,https://gitlab.com/vcoindet/projetgitit1/-/issues/6,Test unitaire carte_cache,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:27:15,2021-03-25 09:27:15,,,,,0,0
7,https://gitlab.com/vcoindet/projetgitit1/-/issues/7,Debug choisir_cartes,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:27:33,2021-03-25 09:27:33,,,,,0,0
8,https://gitlab.com/vcoindet/projetgitit1/-/issues/8,Doc choisir_cartes,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:27:47,2021-03-25 09:27:47,,,,,0,0
9,https://gitlab.com/vcoindet/projetgitit1/-/issues/9,Test unitaire choisir_cartes,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:28:47,2021-03-25 09:28:47,,,,,0,0
10,https://gitlab.com/vcoindet/projetgitit1/-/issues/10,Coder retourne_carte,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:29:10,2021-03-25 09:29:10,,,,,0,0
11,https://gitlab.com/vcoindet/projetgitit1/-/issues/11,Doc retourne_carte,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:29:22,2021-03-25 09:29:22,,,,,0,0
12,https://gitlab.com/vcoindet/projetgitit1/-/issues/12,Test unitaire retourne carte,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:29:47,2021-03-25 09:29:47,,,,,0,0
13,https://gitlab.com/vcoindet/projetgitit1/-/issues/13,Doc jouer,Open,,Coindet,vcoindet,"","",No,No,,2021-03-25 09:29:57,2021-03-25 09:29:57,,,,,0,0
